steamid,appid,playtime_minutes
76561198109425210,782330,139
76561198109425210,814380,132
76561198109425210,816090,80
76561198109425210,826630,478
76561198109425210,945360,159
76561198109425210,954850,284
76561198109425210,1043810,854
76561198109425210,1056960,0
76561198109425210,1058650,0
76561198109425210,1062090,4724
76561198109425210,1062160,714
76561198109425210,1084160,3424
76561198109425210,1086940,13517
76561198109425210,1105670,10368
76561198109425210,1142710,103380
76561198109425210,1145360,1122
76561198109425210,1210320,510
76561198109425210,1222680,686
76561198109425210,1237970,0
76561198109425210,1239080,703
76561198109425210,1245620,28333
76561198109425210,1269020,1295
76561198109425210,1272320,2347
76561198109425210,1291010,1054
76561198109425210,1295500,2092
76561198109425210,1313140,1178
76561198109425210,1330460,178
76561198109425210,1338770,264
76561198109425210,1361210,2817
76561198109425210,1363080,658
76561198109425210,1444020,304
76561198109425210,1454400,10326
76561198109425210,1594320,3495
76561198109425210,1604270,5648
76561198109425210,1611600,13944
76561198109425210,1621690,0
76561198109425210,1674170,63
76561198109425210,1800940,182
76561198109425210,1811990,3097
76561198109425210,1843760,2443
76561198109425210,1850510,2966
76561198109425210,1860510,257
76561198109425210,1874880,311
76561198109425210,1890860,0
76561198109425210,2183900,182
76561198109425210,2186680,751
76561198109425210,2215430,2078
76561198109425210,2368300,502
76561198109425210,2536960,911
76561198109425210,2592160,0
76561198109425210,2660460,575
76561198109425210,2784470,1548
76561198109425210,3240220,0
76561198072785106,70,150
76561198072785106,220,0
76561198072785106,320,0
76561198072785106,360,0
76561198072785106,400,0
76561198072785106,500,0
76561198072785106,550,320
76561198072785106,570,9
76561198072785106,620,461
76561198072785106,730,93929
76561198072785106,3590,1088
76561198072785106,3830,0
76561198072785106,7000,0
76561198072785106,7670,0
76561198072785106,8000,0
76561198072785106,8140,0
76561198072785106,8850,0
76561198072785106,8870,753
76561198072785106,8930,0
76561198072785106,15100,327
76561198072785106,15560,0
76561198072785106,17390,442
76561198072785106,17440,0
76561198072785106,17470,0
76561198072785106,22000,0
76561198072785106,22300,168
76561198072785106,24010,0
76561198072785106,24720,0
76561198072785106,24780,0
76561198072785106,24800,0
76561198072785106,26900,0
76561198072785106,29130,216
76561198072785106,29180,0
76561198072785106,32370,0
76561198072785106,33230,143
76561198072785106,39140,0
76561198072785106,40800,0
76561198072785106,41500,0
76561198072785106,42910,374
76561198072785106,46500,0
76561198072785106,46510,0
76561198072785106,47790,0
76561198072785106,47830,0
76561198072785106,47870,1162
76561198072785106,48000,115
76561198072785106,48190,0
76561198072785106,49520,70
76561198072785106,61600,15
76561198072785106,65300,0
76561198072785106,95400,0
76561198072785106,96000,202
76561198072785106,105600,4790
76561198072785106,107100,579
76561198072785106,108200,1
76561198072785106,111800,0
76561198072785106,113200,21
76561198072785106,115800,233
76561198072785106,200510,1841
76561198072785106,200710,6714
76561198072785106,200910,605
76561198072785106,201870,0
76561198072785106,203160,2422
76561198072785106,203510,0
76561198072785106,204360,56
76561198072785106,207140,0
76561198072785106,208480,0
76561198072785106,208580,0
76561198072785106,208610,0
76561198072785106,209060,6
76561198072785106,210770,0
76561198072785106,210970,0
76561198072785106,211340,265
76561198072785106,212680,2615
76561198072785106,213670,538
76561198072785106,214360,239
76561198072785106,214550,0
