model,mean_pos,mean_neg,std_pos,std_neg,separation
Baseline,0.6301046579190652,0.03872410316340219,0.31767640804983904,0.05880359565122195,0.591380554755663
Network (emb0),0.9530491418964625,0.005009483178410023,0.15852850906440386,0.01314107249643001,0.9480396587180525
