user_steamid,friend_steamid
76561198064675174,76561197967152992
76561198064675174,76561197968602157
76561198064675174,76561197970310193
76561198064675174,76561197970551918
76561198064675174,76561197970583217
76561198064675174,76561197971940662
76561198064675174,76561197972380369
76561198064675174,76561197985689303
76561198064675174,76561197994019610
76561198064675174,76561197994545094
76561198064675174,76561197998764973
76561198064675174,76561197999901602
76561198064675174,76561198000434676
76561198064675174,76561198008410592
76561198064675174,76561198014139881
76561198064675174,76561198015655948
76561198064675174,76561198067360235
76561198064675174,76561198072785106
76561198064675174,76561198079939545
76561198064675174,76561198108700219
76561198064675174,76561198109425210
76561198064675174,76561198125113675
76561198064675174,76561198169186316
76561198064675174,76561198188194649
76561198064675174,76561198190897966
76561198064675174,76561198201331426
76561198064675174,76561199183198591
76561198064675174,76561199501661142
76561198109425210,76561197996188606
76561198109425210,76561198052152985
76561198109425210,76561198064675174
76561198109425210,76561198071217691
76561198109425210,76561198072785106
76561198109425210,76561198091877164
76561198109425210,76561198095096286
76561198109425210,76561198100002882
76561198109425210,76561198262586031
76561198109425210,76561198263564708
76561198109425210,76561198281198045
76561198109425210,76561198358243150
76561198109425210,76561198362520139
76561198109425210,76561198892192614
76561198109425210,76561198996191617
76561198109425210,76561199135419741
76561198281198045,76561197994839969
76561198281198045,76561198001949536
76561198281198045,76561198031234886
76561198281198045,76561198047860857
76561198281198045,76561198067800959
76561198281198045,76561198070705471
76561198281198045,76561198071249132
76561198281198045,76561198095096286
76561198281198045,76561198102478309
76561198281198045,76561198108140162
76561198281198045,76561198109425210
76561198281198045,76561198129917722
76561198281198045,76561198140299828
76561198281198045,76561198218323677
76561198281198045,76561198250575054
76561198281198045,76561198387995644
76561198281198045,76561198396702900
76561198281198045,76561199019487827
76561198281198045,76561199040740690
76561198281198045,76561199173416670
76561198281198045,76561199395799587
76561198281198045,76561199645202439
76561197994839969,76561197960392661
76561197994839969,76561197962325378
76561197994839969,76561197963482614
76561197994839969,76561197965754360
76561197994839969,76561197966097111
76561197994839969,76561197968771539
76561197994839969,76561197969368596
76561197994839969,76561197977343888
76561197994839969,76561197977761889
76561197994839969,76561197979127175
76561197994839969,76561197980185845
76561197994839969,76561197980537386
76561197994839969,76561197985144896
76561197994839969,76561197985972348
76561197994839969,76561197987523456
76561197994839969,76561197988523565
76561197994839969,76561197989120390
76561197994839969,76561197990967102
76561197994839969,76561197991076623
76561197994839969,76561197993603102
76561197994839969,76561197994925037
76561197994839969,76561197997632140
76561197994839969,76561197998342061
76561197994839969,76561198000934116
76561197994839969,76561198004719644
76561197994839969,76561198004948192
76561197994839969,76561198007523043
76561197994839969,76561198008507429
76561197994839969,76561198011599042
76561197994839969,76561198014125406
76561197994839969,76561198015015414
76561197994839969,76561198015138335
76561197994839969,76561198016201101
76561197994839969,76561198016302019
76561197994839969,76561198019258386
76561197994839969,76561198021831381
76561197994839969,76561198022590984
76561197994839969,76561198026320365
76561197994839969,76561198027511461
76561197994839969,76561198027626412
76561197994839969,76561198029119725
76561197994839969,76561198029281562
76561197994839969,76561198031820390
76561197994839969,76561198032657916
76561197994839969,76561198033790360
76561197994839969,76561198034359828
76561197994839969,76561198037191992
76561197994839969,76561198037653287
76561197994839969,76561198039998266
76561197994839969,76561198041109659
76561197994839969,76561198042205742
76561197994839969,76561198042473251
76561197994839969,76561198043039568
76561197994839969,76561198043133594
76561197994839969,76561198044767636
76561197994839969,76561198045921228
76561197994839969,76561198046667587
76561197994839969,76561198048082097
76561197994839969,76561198048098909
76561197994839969,76561198048703585
76561197994839969,76561198049036737
76561197994839969,76561198050217493
76561197994839969,76561198051548942
76561197994839969,76561198053666806
76561197994839969,76561198055125568
76561197994839969,76561198056707212
76561197994839969,76561198059586964
76561197994839969,76561198061642221
76561197994839969,76561198063520082
76561197994839969,76561198063882061
76561197994839969,76561198065705063
76561197994839969,76561198067901028
