feature,xgb_baseline_mean_abs_shap,xgb_baseline_importance_share,xgb_baseline_top_interaction_feature,xgb_one_embedding_mean_abs_shap,xgb_one_embedding_importance_share,xgb_one_embedding_top_interaction_feature,combined_mean_abs_shap
cat__genres_Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Racing;Simulation;Sports,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Racing,0.0,0.0,,0.0,0.0,,0.0
cat__genres_RPG;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__platforms_windows,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Simulation;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;RPG,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Indie;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Indie;Sports,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Indie;Simulation;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Indie;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Indie;Racing,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Indie;RPG,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Indie;Early Access,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Indie,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Indie;RPG,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Early Access,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Casual;Indie;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Casual;Indie;Sports,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Casual;Indie;Simulation;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Casual;Indie;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Casual;Indie;RPG,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Casual;Indie;Early Access,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Casual;Indie,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Casual,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Adventure;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Adventure;RPG,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Free To Play,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Casual,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;RPG;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;RPG,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Indie;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Indie;Simulation;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Indie;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Indie;RPG;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Indie;RPG;Simulation;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Indie;RPG;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Assemble Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Casual;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Casual;RPG,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Casual;Indie;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Casual;Indie;Simulation;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Casual;Indie;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Casual;Indie;RPG;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Casual;Indie;RPG;Simulation;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Casual;Indie;RPG;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Casual;Indie;RPG,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Casual;Indie,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Casual,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Adventure;Indie,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Strategy First,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Square Enix,0.0,0.0,,0.0,0.0,,0.0
